,Rex,Rin,C
TSI_S4,0.001,0.054674384606200735,16696.064857486108
TSI_S6,0.001,0.054674384606200735,16693.597817909646
TSI_S7,0.0057836120582524615,0.002801033632530153,534742.4686627295
TSI_S8,0.006033483898074236,0.002801033632530153,512718.693338293
TSI_S9,0.005820107947750967,0.002801033632530153,534119.3582745029
TSI_S10,0.00608989357217893,0.002801033632530153,512432.71839160554
TSI_S11,0.049999999999999996,0.054674384606200735,986341.9878867645
TSI_S12,0.049999999999999996,0.054674384606200735,967731.9984555825
TSI_S13,0.049999999999999996,0.054674384606200735,1014591.7114261094
TSI_S14,0.049999999999999996,0.054674384606200735,1027087.5744562527
